,PLACE NAME,SUPERFICIE TOTAL EN M2,PRECIO USD POR M2,PRICE,CURRENCY,PRECIO USD,TIPO DE PROPIEDAD,CANTIDAD,ZONAS COMUNALES,ambientes_regex,parrilla_regex,cochera_regex,pileta_regex,sum_regex,solarium_regex,gym_regex,balcon_regex,jardin_regex,lavadero_regex,estrenar_regex,quincho_regex,patio_regex
1694,recoleta,117.0,2264.957264957265,265000.0,usd,265000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,1,0,0,0,0,0
1695,recoleta,111.0,3828.828828828829,425000.0,usd,425000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,1,0,0,0,0,1,0,1,0,0,0
1696,santelmo,130.0,2292.3076923076924,298000.0,usd,298000.0,store,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
1697,villacrespo,77.0,3883.116883116883,299000.0,usd,299000.0,store,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
1698,parquechacabuco,66.0,2000.0,132000.0,usd,132000.0,apartment,1.0,ZONA CENTRO COMUNAL,4,0,0,0,0,0,0,0,0,0,0,0,0
1699,boca,139.0,1007.1942446043165,140000.0,usd,140000.0,ph,1.0,ZONA SUR COMUNAL,5,1,0,0,0,0,0,0,0,1,0,0,1
1700,palermo,137.0,2846.715328467153,390000.0,usd,390000.0,apartment,1.0,ZONA NORTE COMUNAL,4,0,0,0,0,0,0,1,0,0,0,0,0
1701,villaluro,44.0,1795.4545454545455,79000.0,usd,79000.0,apartment,1.0,ZONA OESTE COMUNAL,2,0,0,0,0,0,0,1,0,0,0,0,0
1702,barrionorte,105.0,1857.142857142857,195000.0,usd,195000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,0,0,0,0,0,0
1703,caballito,93.0,2258.064516129032,210000.0,usd,210000.0,apartment,1.0,ZONA CENTRO COMUNAL,4,0,0,0,0,0,0,1,0,0,0,0,0
1704,boedo,258.0,1550.3875968992247,400000.0,usd,400000.0,house,1.0,ZONA CENTRO COMUNAL,0,0,0,0,0,0,0,0,1,1,0,0,1
1705,villacrespo,135.0,1844.4444444444443,249000.0,usd,249000.0,piso/penthouse,1.0,ZONA NORTE COMUNAL,4,0,0,0,0,0,0,1,0,0,0,0,0
1706,balvanera,114.0,1482.4561403508771,169000.0,usd,169000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,0,1,1,0,0,0
1707,villacrespo,210.0,2000.0,420000.0,usd,420000.0,house,1.0,ZONA NORTE COMUNAL,4,1,0,0,0,0,0,0,0,0,0,0,1
1708,barrionorte,55.0,2509.090909090909,138000.0,usd,138000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,0
1709,recoleta,148.0,2466.2162162162163,365000.0,usd,365000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,0,0,0,0,0,1,0,1,0,0,1
1710,palermo,215.0,2627.906976744186,565000.0,usd,565000.0,piso/penthouse,1.0,ZONA NORTE COMUNAL,5,0,1,0,0,0,0,1,1,1,0,0,0
1711,caballito,159.0,2182.3899371069183,347000.0,usd,347000.0,house,1.0,ZONA CENTRO COMUNAL,4,1,1,0,0,0,0,0,0,1,0,1,1
1712,congreso,120.0,1833.3333333333333,220000.0,usd,220000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,0,0,0,0,0,0,0,0,0,0,0
1713,recoleta,96.0,2395.8333333333335,230000.0,usd,230000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,1,1,0,0,0
1714,barrionorte,96.0,2395.8333333333335,230000.0,usd,230000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,1,1,0,0,0
1715,barrionorte,38.0,2065.7894736842104,78500.0,usd,78500.0,apartment,1.0,ZONA ESTE COMUNAL,1,0,0,0,0,0,0,0,0,1,0,0,1
1716,belgrano,120.0,2208.3333333333335,265000.0,usd,265000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,1,0,0,0,0,0,0,0,0,0,1
1717,colegiales,120.0,2208.3333333333335,265000.0,usd,265000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,1,0,0,0,0,0,0,0,0,0,1
