iter	Passed	Remaining
908	10513	35751
909	10524	35737
910	10536	35726
911	10548	35718
912	10560	35707
913	10573	35699
914	10584	35686
915	10595	35671
916	10607	35662
917	10619	35651
918	10631	35642
919	10643	35634
920	10655	35623
921	10668	35614
922	10679	35603
923	10691	35590
924	10702	35580
925	10713	35566
926	10724	35552
927	10735	35538
928	10744	35519
929	10754	35502
930	10764	35484
931	10776	35476
932	10789	35466
933	10802	35460
934	10814	35450
935	10827	35443
936	10838	35431
937	10855	35437
938	10876	35455
939	10898	35476
940	10920	35501
941	10941	35520
942	10966	35550
943	10992	35585
944	11014	35608
945	11033	35620
946	11051	35629
947	11074	35652
948	11102	35694
949	11116	35688
950	11128	35678
951	11140	35667
952	11153	35660
953	11166	35652
954	11178	35643
955	11193	35639
956	11205	35629
957	11217	35620
958	11230	35612
959	11242	35602
960	11256	35598
961	11277	35615
962	11291	35609
963	11305	35605
964	11321	35606
965	11342	35625
966	11359	35628
967	11373	35624
968	11387	35618
969	11400	35611
970	11412	35599
971	11426	35597
972	11440	35592
973	11455	35590
974	11464	35569
975	11474	35552
976	11486	35541
977	11499	35533
978	11513	35527
979	11524	35515
980	11537	35505
981	11549	35496
982	11561	35483
983	11573	35472
984	11585	35461
985	11596	35449
986	11609	35441
987	11622	35433
988	11635	35424
989	11648	35414
990	11660	35405
991	11673	35396
992	11683	35380
993	11694	35367
994	11705	35353
995	11716	35338
996	11728	35326
997	11740	35315
998	11752	35303
999	11763	35289
1000	11775	35278
1001	11785	35262
1002	11797	35250
1003	11808	35238
1004	11820	35224
1005	11832	35216
1006	11848	35214
1007	11858	35198
1008	11870	35188
1009	11882	35176
1010	11893	35161
1011	11905	35153
1012	11917	35141
1013	11931	35135
1014	11943	35125
1015	11954	35111
1016	11966	35099
1017	11979	35092
1018	11992	35083
1019	12002	35066
1020	12013	35053
1021	12027	35046
1022	12041	35041
1023	12055	35037
1024	12070	35034
1025	12083	35025
1026	12095	35015
1027	12106	35001
1028	12118	34988
1029	12131	34979
1030	12144	34972
1031	12180	35030
1032	12194	35024
1033	12207	35017
1034	12221	35011
1035	12237	35011
1036	12263	35041
1037	12276	35030
1038	12289	35022
1039	12303	35018
1040	12315	35006
1041	12330	35003
1042	12344	34998
1043	12357	34989
1044	12369	34978
1045	12382	34968
1046	12394	34958
1047	12409	34955
1048	12422	34947
1049	12437	34942
1050	12451	34937
1051	12464	34928
1052	12476	34917
1053	12489	34907
1054	12501	34897
1055	12513	34887
1056	12526	34878
1057	12539	34868
1058	12551	34856
1059	12563	34845
1060	12575	34833
1061	12586	34821
1062	12598	34809
1063	12611	34799
1064	12622	34787
1065	12633	34772
1066	12647	34765
1067	12660	34758
1068	12674	34752
1069	12687	34742
1070	12698	34727
1071	12709	34714
1072	12720	34701
1073	12732	34687
1074	12746	34681
1075	12756	34665
1076	12771	34660
